atoD,atoA,atoB
ugpB,ugpA,ugpE,ugpC,ugpQ
yjeF,yjeE,amiB,mutL,miaA,hfq
hycA,hycB,hycC,hycD,hycE,hycF,hycG,hycH
kdtA,kdtB
agaZ,agaV,agaW,agaA,agaS,agaY,agaB,agaC,agaD,agaI
nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG
rnc,era,recO
btuC,btuE,btuD
narX,narL
fliF,fliG,fliH,fliI,fliJ,fliK
artP,artI,artQ,artM,artJ
ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,dsbE,ccmH
ptsH,ptsI,crr
561,560
yhdG,fis,yhdJ
livK,livH,livM,livG,livF
sucA,sucB,sucC,sucD
dnaK,dnaJ
dcd,yegA
queA,tgt,yajC,secD,secF
rph,pyrE
cysD,cysN,cysC
rpiA,serA
mrdA,mrdB
hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
csgD,csgE,csgF,csgG
thrA,thrB,thrC
dcm,vsr
hydH,hydG
purM,purN
lldP,lctR,lctD
rplM,rpsI
malK,lamB,malM
rpsU,dnaG,rpoD
dadA,dadX
amiA,hemF
rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,prlA,rpmJ
trpE,trpD,trpC,trpB,trpA
fliA,fliZ,fliY
kdpA,kdpB,kdpC,kdpD,kdpE
nirB,nirD,nirC
def,fmt,fmu
prfB,lysS
fabD,fabG,acpP
glvC,glvB,glvG
marR,marA,marB
caiT,caiA,caiB,caiC,caiD,caiE
araB,araA,araD
fruB,fruK,fruA
yceD,rpmF
malE,malF,malG
yhbN,yhbG,rpoN,yhbH,ptsN,3135,ptsO
flgA,flgM,flgN
dmsA,dmsB,dmsC
pyrB,pyrI
yhfG,fic,pabA
uxaC,uxaA
pdxJ,acpS
mdoG,mdoH
fucP,fucI,fucK,fucU,fucR
1848,flhA
nrdE,nrdF
ubiC,ubiA
speF,potE
glgB,glgX,glgC,glgA,glgP
chpS,chpB
aceB,aceA,aceK
nagB,nagA,nagC,nagD
smtA,mukF,mukE,mukB
ackA,pta
clpP,clpX
rpsF,priB,rpsR,rplI
thiC,thiE,thiF,thiG,thiH
accB,accC
rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ
acrE,acrF
motA,motB,cheA,cheW
nrdA,nrdB
pdxB,usg,truA,dedA,accD
ptr,recB,recD
ilvG_1,ilvM,ilvE,ilvD,ilvA
glcD,2912,glcG,glcB
serB,sms
fdnG,fdnH,fdnI
